#id	name	description	image	created_at	updated_at	category
1	PHILLY CHEESESTEAKS WITH MELTED FONTINA	Philly's signature sandwich is always a sure-fire hit. Try this version with sauteed red onion and melted fontina in place of the signature "whiz."	CCGDD310_Philly-Cheesesteaks-with-Melted-Fontina-and-Sauteed-Red-Onion_s4x3_lg.jpg	2012-12-21 19:25:40	2012-12-23 06:23:23	Meaty
2	NORTH CAROLINA PULLED PORK BBQ SANDWICH	North Carolinians are proud of their vinegar-based pulled pork (the tangier, the better!). Our perfectly tuned barbecue sauce has sugar and honey for balancing sweetness, crushed red pepper for some heat and a whole cup of cider vinegar.	CC_North-Carolina-Pulled-Pork-BBQ-Sandwich-Recipe_s4x3_lg.jpg	2012-12-22 01:14:33	2012-12-23 06:23:37	Meaty
3	CAJUN SHRIMP PO' BOYS	Get a taste of Louisiana with Kelsey's fried shrimp sandwich dusted with spicy Creole seasoning like good ol' po' boys.	CCKEL201_Cajun-Shrimp-Po-Boys_s4x3_lg.jpg	2012-12-22 02:02:49	2012-12-23 06:23:51	Meaty
4	DILLY PICKLED EGG SALAD SANDWICH	Gently simmer slightly older eggs and then peel them while they are still warm; this will yield tender, perfectly cooked eggs. Mix the mashed yolks, mayo and mustard with relish, dill, shallots and lemon zest for an egg salad with flavor and bite	cc-kitchens_dilly-pickled-egg-salad-recipe_s4x3_lg.jpg	2012-12-22 02:03:54	2012-12-23 06:24:13	Vegetarian
5	BRISKET SANDWICH	This isn't just a brisket sandwich — it's THE brisket sandwich. Chuck coats his brisket with a homemade dry rub before baking it for several hours and topping it off with his very own apple barbecue sauce.	CC-chuck-hughes_brisket-sandwich-recipe_s4x3_lg.jpg	2012-12-22 02:04:37	2012-12-23 06:24:28	Meaty
6	SMOKEY TURKEY AND SPINACH MEATBALL SUBS	Serve these meatballs over your favorite pasta one night and on a crispy bagette the next day for a satisfyingly saucy lunch.	CCPRF201_smokey-turkey-and-spinach-meatball-sub-sandwiches-recipe_s4x3_lg.jpg	2012-12-22 02:05:28	2012-12-23 06:24:40	Meaty
7	COBB SALAD PANINI	Greens might not seem like your best between-bread filling, but this meaty salad sandwich is anything but wimpy.	CCFOO121_Cobb-Salad-Panini_s4x3_lg.jpg	2012-12-22 02:09:17	2012-12-23 06:24:56	Vegetarian
8	CRISPY TUNA-CAKE SLIDERS WITH CITRUS SLAW	These crowd-pleasing sliders have the consistency of a crab cake but are made with canned tuna so they cost just a fraction of the price to create.	FNCC_nadia-g-crispy-tuna-cake-sliders_s4x3_lg.jpg	2012-12-22 02:09:54	2012-12-23 06:25:07	Meaty
9	EGG WHITE, ONION + FIG JAM SANDWICH	A wicked sandwich that's easy on your taste buds and your figure. Homemade fig jam and caramelized onions provide so much sweet flavor that you won't miss the yolks in this recipe one little bit.	CC-Nadia-G_egg-white-onion-fig-jam-sandwich_s3x4_lg.jpg	2012-12-22 02:10:44	2012-12-23 06:25:19	Meaty
10	MUSTARD GLAZED BAKED HAM AND PIMENTO CHEESE BISCUITS	Bobby Flay's made-from-scratch buttermilk biscuits help take his sandwich to new, buttery heights. If you're pressed for time, however, store-bought biscuits or biscuit mix will work just fine too.	CCBAB206L_buttermilk-biscuits-ham-cheese_s4x3_lg.jpg	2012-12-22 02:11:20	2012-12-23 06:25:34	Meaty
11	PULLED PORK AND KIMCHI SANDWICH	Chuck Hughes' tender smoked pulled pork and kimchi sandwich, served with a sweet and tangy glaze, is an international take on the classic barbecue dish.	FNCC_chuck-hughes-pork-kimchi-sandwich_s4x3_lg.jpg	2012-12-22 02:13:11	2012-12-23 06:25:44	Meaty
12	CARRIBEAN WRAP	Spicy and sweet, this tropical wrap is packed with lean, tasty and nutritious fillings like black beans, chicken breast, mango and macadamia nuts.	CCDRP105_Carribean-Wrap-Recipe_s4x3_lg.jpg	2012-12-22 02:13:51	2012-12-23 06:25:57	Vegetarian
